time,Steering_input,x,y,vx,vy,ax,ay,yaw,roll,yaw_rate,roll_rate,slip_angle,long_slip,toe_in_r,toe_in_avg,toe_in_l,wlf,wlr,wrf,wrr,tiredef_rf,tiredef_rr,tiredef_lf,tiredef_lr,sp_tor,
+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+4.670408e-310,+0.000000e+00,+0.000000e+00,+4.670408e-310,+0.000000e+00,
+1.000000e-02,+0.000000e+00,-3.722197e-05,-2.506765e-08,-5.472778e-03,+3.631192e-07,-4.251643e-01,+3.106305e-05,+2.109395e-08,-1.118916e-07,-5.897168e-08,-1.819977e-05,+1.306533e+00,-9.500784e-01,-3.269931e-04,+4.626375e-06,+3.362459e-04,+3.522246e-03,+3.520930e-03,+3.520128e-03,+3.520941e-03,+4.670408e-310,+0.000000e+00,+0.000000e+00,+4.670408e-310,+1.809639e+00,
+2.000000e-02,+0.000000e+00,-1.112231e-04,-5.762455e-08,-5.104014e-03,+2.696633e-07,+1.292082e-01,-5.126603e-05,+2.063991e-08,-2.825839e-07,-4.407488e-09,-8.487719e-06,+1.329550e+00,-8.749210e-01,-9.924170e-04,+4.624172e-06,+1.001665e-03,+8.267750e-03,+8.226953e-03,+8.265822e-03,+8.226872e-03,+5.434278e-03,+5.372713e-03,+5.434317e-03,+5.372823e-03,-4.984590e+00,
+3.000000e-02,+0.000000e+00,-1.817593e-04,-9.581808e-09,-4.138712e-03,-1.055108e-06,+4.198638e-02,-2.324943e-04,+2.181746e-08,-4.486695e-08,+3.053892e-07,+7.329948e-05,+1.365326e+00,-4.448618e-01,-1.529743e-03,+4.656035e-06,+1.539055e-03,+2.445202e-02,+2.416531e-02,+2.445065e-02,+2.416520e-02,+1.062535e-02,+1.047545e-02,+1.062542e-02,+1.047557e-02,-2.124567e+01,
+4.000000e-02,+0.000000e+00,-2.495256e-04,+1.529411e-07,-2.305647e-03,-1.113476e-06,+2.488725e-01,+1.819656e-04,+2.556084e-08,+7.914669e-07,+7.756014e-08,+2.895449e-05,+1.410167e+00,+4.490232e-02,-1.892130e-03,+4.736615e-06,+1.901603e-03,+1.900867e-02,+2.587178e-02,+1.900431e-02,+2.586957e-02,+1.445338e-02,+1.418368e-02,+1.445315e-02,+1.418348e-02,+1.914649e+01,
+5.000000e-02,+0.000000e+00,-3.010559e-04,+8.660738e-08,-9.235232e-05,+3.096374e-06,+3.348816e-01,+2.486238e-02,+2.506432e-08,+4.826081e-07,+2.105331e-05,-9.349123e-05,+1.498273e+00,-1.218618e-01,-2.094563e-03,+4.677306e-06,+2.103917e-03,+6.339680e-03,+1.349453e-02,+1.881348e-03,+1.151945e-02,+1.709640e-02,+1.668777e-02,+1.709601e-02,+1.668741e-02,+6.560530e+01,
+6.000000e-02,+0.000000e+00,-3.400152e-04,-1.626270e-07,+1.581715e-03,+2.995624e-06,+7.326884e-02,-3.165733e-02,+1.786113e-08,-7.852097e-07,-4.005249e-05,-1.497319e-04,+9.210410e-01,+1.085664e+00,-2.169253e-03,+4.654501e-06,+2.178562e-03,-9.712936e-03,-8.326419e-04,-3.544787e-03,+6.880298e-03,+1.881703e-02,+1.825894e-02,+1.881700e-02,+1.825895e-02,+2.547814e+00,
+7.000000e-02,+0.000000e+00,-3.704987e-04,-4.486857e-07,+2.125133e-03,+2.471373e-06,+7.370983e-03,+3.010268e-02,+3.515768e-08,-2.495659e-06,-6.676527e-05,-1.411517e-04,-1.868822e-01,+1.278046e+00,-2.169849e-03,+4.546099e-06,+2.178942e-03,-1.878500e-02,-4.705699e-03,+9.897022e-04,-1.843913e-03,+1.997586e-02,+1.914973e-02,+1.997640e-02,+1.915053e-02,-8.366721e+00,
+8.000000e-02,+0.000000e+00,-3.939776e-04,-6.394110e-07,+2.043517e-03,+7.347412e-05,-7.707204e-01,-2.762265e-01,+5.030621e-08,-3.948180e-06,-1.301738e-04,-4.093303e-05,-2.484657e-01,+7.121992e-02,-2.166605e-03,+4.388707e-06,+2.175382e-03,-1.713949e-02,-5.353436e-03,+5.305559e-03,-9.713918e-03,+2.098677e-02,+1.958237e-02,+2.098805e-02,+1.958390e-02,-2.595093e+02,
+9.000000e-02,+0.000000e+00,-4.142938e-04,-7.664953e-07,+1.850097e-03,+3.705768e-05,-7.418050e-02,-8.563876e-01,+5.622527e-08,-5.080589e-06,-2.297781e-05,-7.010390e-05,-2.538184e-01,-5.954709e-01,-2.163955e-03,+3.953111e-06,+2.171861e-03,-7.259309e-03,-2.307020e-03,-6.045331e-03,-1.397757e-02,+2.184800e-02,+1.985900e-02,+2.185004e-02,+1.986109e-02,-1.578591e+00,
